sub_category,main_category
abrasives,general consumables
"adhesives, sealants and tape",general consumables
cleaning and janitorial,general consumables
fasteners,general consumables
hardware,general consumables
lab supplies,general consumables
lubricants and grease,general consumables
material handling,general consumables
office supplies,general consumables
packaging & shipping,general consumables
"paints, equipment and supplies",general consumables
"pipe, hose, tube & fittings",general consumables
plumbing,general consumables
raw materials,general consumables
welding consumables,general consumables
drilling consumables,general consumables
electronics & batteries,tools & instumentations
pneumatics,tools & instumentations
power transmission,tools & instumentations
pumps,tools & instumentations
motors,tools & instumentations
hvac and refrigeration,tools & instumentations
hydraulics,tools & instumentations
"furnishings, appliances & hospitality",tools & instumentations
lighting,electrical
,safety
,fixed stationary maintenance
,fleet mobile maintenance
,bulk and raw materials
