client_id,storage,sku_id,item_description,detailed_description,manufacturer,mfg_part_nos,fitment,bom_structure,bom_qty,bom_grp,bom_id,bom_ref,plan_grp
,,10014,HOUSING;DANFOSS;4250152,HOUSING,DANFOSS,4250152,TANDEM PUMP,COMMON PARTS,1,BLN-2-41694-8,B01,,
,,10015,LIP SEAL;DANFOSS;500748,LIP SEAL,DANFOSS,500748,TANDEM PUMP,COMMON PARTS,1,,B02,,
,,10015,LIP SEAL;DANFOSS;500748,LIP SEAL,DANFOSS,9008000-0132,TANDEM PUMP,COMMON PARTS,1,,B02,,
,,10015,LIP SEAL;DANFOSS;500748,LIP SEAL,DANFOSS,500748,TANDEM PUMP,COMMON PARTS,1,,B02,,
,,10015,LIP SEAL;DANFOSS;500748,LIP SEAL,DANFOSS,9008000-0132,TANDEM PUMP,COMMON PARTS,1,,B02,,
,,10016,THRUST PLATE;DANFOSS;3103218,THRUST PLATE,DANFOSS,3103218,TANDEM PUMP,COMMON PARTS,1,,B21,,
,,10016,THRUST PLATE;DANFOSS;3103218,THRUST PLATE,DANFOSS,3103218,TANDEM PUMP,COMMON PARTS,1,,B21,,
,,10017,END CAP GASKET;DANFOSS;4250003,END CAP GASKET,DANFOSS,4250003,TANDEM PUMP,COMMON PARTS,1,,B37,,
,,10017,END CAP GASKET;DANFOSS;4250003,END CAP GASKET,DANFOSS,4250003,TANDEM PUMP,COMMON PARTS,1,,B37,,
,,10017,END CAP GASKET;DANFOSS;4250003,END CAP GASKET,DANFOSS,4250003,TANDEM PUMP,COMMON PARTS,1,,B37,,
,,10018,NEEDLE BEARING;DANFOSS;5000046,NEEDLE BEARING,DANFOSS,5000046,TANDEM PUMP,COMMON PARTS,1,,B38,,
,,10018,NEEDLE BEARING;DANFOSS;5000046,NEEDLE BEARING,DANFOSS,5000046,TANDEM PUMP,COMMON PARTS,1,,B38,,
,,10019,PIN;DANFOSS;1289,PIN,DANFOSS,001289,TANDEM PUMP,COMMON PARTS,2,,B40,,
,,10019,PIN;DANFOSS;1289,PIN,DANFOSS,9004800-3708,TANDEM PUMP,COMMON PARTS,2,,B40,,
,,10019,PIN;DANFOSS;1289,PIN,DANFOSS,001289,TANDEM PUMP,COMMON PARTS,2,,B40,,
,,10019,PIN;DANFOSS;1289,PIN,DANFOSS,9004800-3708,TANDEM PUMP,COMMON PARTS,2,,B40,,
,,10020,PLUG;DANFOSS;001537,PLUG,DANFOSS,001537,TANDEM PUMP,COMMON PARTS,2,,B45,,
,,10020,PLUG;DANFOSS;001537,PLUG,DANFOSS,9005100-8700,TANDEM PUMP,COMMON PARTS,2,,B45,,
,,10020,PLUG;DANFOSS;001537,PLUG,DANFOSS,001537,TANDEM PUMP,COMMON PARTS,2,,B45,,
,,10026,RETAINING RING;DANFOSS;5000660,RETAINING RING,DANFOSS,5000660,TANDEM PUMP,COMMON PARTS,1,,E05,,
,,10027,RETAINING RING;DANFOSS;9006200-0256,RETAINING RING,DANFOSS,9006200-0256,TANDEM PUMP,COMMON PARTS,1,,E08,,
,,10020,PLUG;DANFOSS;001537,PLUG,DANFOSS,9005100-8700,TANDEM PUMP,COMMON PARTS,2,,B45,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,2,,B45A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,2,,B45A,,
,,10030,COUPLING;DANFOSS;3102305,COUPLING,DANFOSS,3102305,TANDEM PUMP,COMMON PARTS,1,,G09,,
,,10031,CENTER SECTION;DANFOSS;4250158,CENTER SECTION,DANFOSS,4250158,TANDEM PUMP,COMMON PARTS,1,,J01,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,001149,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10040,TRUNNION SHIM KIT  (SB-1996-010);DANFOSS;4Ti10026,TRUNNION SHIM KIT  (SB-1996-010),DANFOSS,4Ti10026,TANDEM PUMP,SWASHPLATE,0,,NOS,,
,,10021,0-RING;DANFOSS;001149,0-RING,DANFOSS,9004201-6200,TANDEM PUMP,COMMON PARTS,1,,H01A,,
,,10042,"SHAFT, TAPERED  (SB-2002-021);DANFOSS;4250164","SHAFT, TAPERED  (SB-2002-021)",DANFOSS,4250164,TANDEM PUMP,INPUT SHAFT,1,,E01,,
,,10043,"KEY, SQUARE  (SB-2002-021);DANFOSS;5000664","KEY, SQUARE  (SB-2002-021)",DANFOSS,5000664,TANDEM PUMP,INPUT SHAFT,1,,E02,,
